sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	stim2_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-99	1	5	37	128	12	trained	passive	none	0	0	0	310	50	-50	-1	mirror	3000	3000	1000	500	8000	293000	301000	False	0	1	polycubes_stim128_4_4_2_2.obj	polycubes_stim128_4_4_2_2.obj	ordered	True	500	-0.2279359847307205	-0.1800999194383621	0.4826357960700989
sub-99	1	5	38	186	12	novel_1	passive	none	0	0	0	210	150	-150	-1	same	3000	3000	1000	500	8000	301000	309000	False	0	1	polycubes_stim186_4_2_2_4.obj	polycubes_stim186_4_2_2_4.obj	ordered	True	500	-0.8688510060310364	0.2850054502487182	0.4657923579216003
sub-99	1	5	39	155	12	trained	passive	none	0	0	0	210	150	-150	-1	same	3000	3000	1000	500	8000	309000	317000	False	0	1	polycubes_stim155_2_4_4_2.obj	polycubes_stim155_2_4_4_2.obj	ordered	True	500	-0.2236339151859283	-0.2646830976009369	0.5979524850845337
sub-99	1	5	40	219	12	novel_1	passive	none	0	0	0	150	150	150	1	same	3000	3000	1000	500	8000	317000	325000	True	5000	1	polycubes_stim219_3_2_3_4.obj	polycubes_stim219_3_2_3_4.obj	ordered	True	500	0.0068964958190917	-0.3496316075325012	0.4875573515892029
sub-99	1	5	41	133	11	trained	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	330000	338000	False	0	1	polycubes_stim133_3_2_2_4.obj	polycubes_stim133_3_2_2_4.obj	ordered	True	500	-0.6504398584365845	-0.2732298374176025	1.036845326423645
sub-99	1	5	42	217	12	trained	passive	none	0	0	0	310	50	-50	-1	same	3000	3000	1000	500	8000	338000	346000	False	0	1	polycubes_stim217_2_4_4_2.obj	polycubes_stim217_2_4_4_2.obj	ordered	True	500	0.1766231656074524	-0.6930831074714661	0.8035446405410767
sub-99	1	5	43	79	11	trained	passive	none	0	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	346000	354000	False	0	1	polycubes_stim079_3_3_2_3.obj	polycubes_stim079_3_3_2_3.obj	ordered	True	500	0.473305881023407	-0.3887032866477966	0.0764036774635315
sub-99	1	5	44	83	11	trained	passive	none	0	0	0	150	150	150	1	mirror	3000	3000	1000	500	8000	354000	362000	False	0	1	polycubes_stim083_4_2_2_3.obj	polycubes_stim083_4_2_2_3.obj	ordered	True	500	-0.7191577553749084	0.251600056886673	0.3633415102958679
sub-99	1	5	45	108	12	trained	passive	none	0	0	0	150	150	150	1	same	3000	3000	1000	500	8000	362000	370000	False	0	1	polycubes_stim108_3_4_3_2.obj	polycubes_stim108_3_4_3_2.obj	ordered	True	500	0.0665522664785385	-0.3822377622127533	0.4740136563777923
sub-99	1	5	46	9	11	novel_1	passive	none	0	0	0	50	50	50	1	same	3000	3000	1000	500	8000	370000	378000	False	0	1	polycubes_stim009_2_3_3_3.obj	polycubes_stim009_2_3_3_3.obj	ordered	True	500	-0.007269412279129	0.6002535820007324	-0.8416175246238708
sub-99	1	5	47	57	10	novel_1	passive	none	0	0	0	100	100	100	1	mirror	3000	3000	1000	500	8000	378000	386000	False	0	1	polycubes_stim057_3_3_2_2.obj	polycubes_stim057_3_3_2_2.obj	ordered	True	500	-0.3991706073284149	0.4485152065753937	-0.235125795006752
sub-99	1	5	48	86	11	novel_1	passive	none	0	0	0	260	100	-100	-1	mirror	3000	3000	1000	500	8000	386000	394000	False	0	1	polycubes_stim086_2_4_3_2.obj	polycubes_stim086_2_4_3_2.obj	ordered	True	500	0.1442571431398391	0.074870079755783	-0.250139445066452
sub-99	1	5	49	103	10	trained	passive	none	0	0	0	210	150	-150	-1	mirror	3000	3000	1000	500	8000	394000	402000	False	0	1	polycubes_stim103_2_4_2_2.obj	polycubes_stim103_2_4_2_2.obj	ordered	True	500	0.8009629249572754	-0.5399411916732788	-0.0373706221580505
sub-99	1	5	50	15	9	novel_1	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	402000	410000	False	0	1	polycubes_stim015_2_2_3_2.obj	polycubes_stim015_2_2_3_2.obj	ordered	True	500	-0.16619773209095	-0.2325808256864547	0.4951167106628418
sub-99	1	5	51	105	10	trained	passive	none	0	0	0	310	50	-50	-1	same	3000	3000	1000	500	8000	410000	418000	False	0	1	polycubes_stim105_2_2_4_2.obj	polycubes_stim105_2_2_4_2.obj	ordered	True	500	0.3093592226505279	-0.0364178642630577	-0.2578566074371338
sub-99	1	5	52	213	12	trained	passive	none	0	0	0	100	100	100	1	mirror	3000	3000	1000	500	8000	418000	426000	False	0	1	polycubes_stim213_2_4_2_4.obj	polycubes_stim213_2_4_2_4.obj	ordered	True	500	-0.9886188507080078	0.1365023702383041	0.7955753207206726
sub-99	1	5	53	115	10	novel_1	passive	none	0	0	0	100	100	100	1	same	3000	3000	1000	500	8000	426000	434000	False	0	1	polycubes_stim115_2_3_2_3.obj	polycubes_stim115_2_3_2_3.obj	ordered	True	500	-0.4059226512908935	0.2256512194871902	0.0868035703897476
sub-99	1	5	54	215	12	novel_1	passive	none	0	0	0	210	150	-150	-1	same	3000	3000	1000	500	8000	434000	442000	False	0	1	polycubes_stim215_3_3_2_4.obj	polycubes_stim215_3_3_2_4.obj	ordered	True	500	0.969713568687439	-0.3194439113140106	-0.5179516077041626
